id;data;competencia;tipo;descricao;categoria;grupo;forma_pagamento;cartao;parcela;parcelas_total;valor;pago;obs;vencimento;data_pagamento;valor_pago
MRV001;2026-09-08;2026-09;Saída;MRV parcela mensal 038;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2026-09-08;;
MRV002;2026-09-08;2026-09;Saída;MRV seguro casa garantia 040;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2026-09-08;;
MRV003;2026-10-08;2026-10;Saída;MRV parcela mensal 039;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2026-10-08;;
MRV004;2026-10-08;2026-10;Saída;MRV seguro casa garantia 041;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2026-10-08;;
MRV005;2026-11-08;2026-11;Saída;MRV parcela mensal 040;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2026-11-08;;
MRV006;2026-11-08;2026-11;Saída;MRV seguro casa garantia 042;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2026-11-08;;
MRV007;2026-12-08;2026-12;Saída;MRV parcela mensal 041;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2026-12-08;;
MRV008;2026-12-08;2026-12;Saída;MRV seguro casa garantia 043;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2026-12-08;;
MRV009;2027-01-08;2027-01;Saída;MRV parcela mensal 042;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-01-08;;
MRV010;2027-01-08;2027-01;Saída;MRV seguro casa garantia 044;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-01-08;;
MRV011;2027-02-08;2027-02;Saída;MRV parcela mensal 043;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-02-08;;
MRV012;2027-02-08;2027-02;Saída;MRV seguro casa garantia 045;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-02-08;;
MRV013;2027-03-08;2027-03;Saída;MRV seguro casa garantia 046;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-03-08;;
MRV014;2027-03-08;2027-03;Saída;MRV parcela mensal 044;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-03-08;;
MRV015;2027-04-08;2027-04;Saída;MRV seguro casa garantia 047;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-04-08;;
MRV016;2027-04-08;2027-04;Saída;MRV parcela mensal 045;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-04-08;;
MRV017;2027-05-08;2027-05;Saída;MRV seguro casa garantia 048;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-05-08;;
MRV018;2027-05-08;2027-05;Saída;MRV parcela mensal 046;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-05-08;;
MRV019;2027-06-08;2027-06;Saída;MRV seguro casa garantia 049;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-06-08;;
MRV020;2027-06-08;2027-06;Saída;MRV parcela mensal 047;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-06-08;;
MRV021;2027-07-08;2027-07;Saída;MRV parcela mensal 048;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-07-08;;
MRV022;2027-07-08;2027-07;Saída;MRV seguro casa garantia 050;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-07-08;;
MRV023;2027-08-08;2027-08;Saída;MRV parcela anual 003;Aluguel/Condomínio;Moradia;Boleto;;1;1;11597.48;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-08-08;;
MRV024;2027-08-08;2027-08;Saída;MRV seguro casa garantia 051;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-08-08;;
MRV025;2027-08-08;2027-08;Saída;MRV parcela mensal 049;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-08-08;;
MRV026;2027-09-08;2027-09;Saída;MRV parcela mensal 050;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-09-08;;
MRV027;2027-09-08;2027-09;Saída;MRV seguro casa garantia 052;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-09-08;;
MRV028;2027-10-08;2027-10;Saída;MRV parcela mensal 051;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-10-08;;
MRV029;2027-10-08;2027-10;Saída;MRV seguro casa garantia 053;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-10-08;;
MRV030;2027-11-08;2027-11;Saída;MRV parcela mensal 052;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-11-08;;
MRV031;2027-11-08;2027-11;Saída;MRV seguro casa garantia 054;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-11-08;;
MRV032;2027-12-08;2027-12;Saída;MRV parcela mensal 053;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-12-08;;
MRV033;2027-12-08;2027-12;Saída;MRV seguro casa garantia 055;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2027-12-08;;
MRV034;2028-01-08;2028-01;Saída;MRV parcela mensal 054;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-01-08;;
MRV035;2028-01-08;2028-01;Saída;MRV seguro casa garantia 056;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-01-08;;
MRV036;2028-02-08;2028-02;Saída;MRV seguro casa garantia 057;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-02-08;;
MRV037;2028-02-08;2028-02;Saída;MRV parcela mensal 055;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-02-08;;
MRV038;2028-03-08;2028-03;Saída;MRV parcela mensal 056;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-03-08;;
MRV039;2028-03-08;2028-03;Saída;MRV seguro casa garantia 058;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-03-08;;
MRV040;2028-04-08;2028-04;Saída;MRV parcela mensal 057;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-04-08;;
MRV041;2028-04-08;2028-04;Saída;MRV seguro casa garantia 059;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-04-08;;
MRV042;2028-05-08;2028-05;Saída;MRV parcela mensal 058;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-05-08;;
MRV043;2028-05-08;2028-05;Saída;MRV seguro casa garantia 060;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-05-08;;
MRV044;2028-06-08;2028-06;Saída;MRV parcela mensal 059;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-06-08;;
MRV045;2028-06-08;2028-06;Saída;MRV seguro casa garantia 061;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-06-08;;
MRV046;2028-07-08;2028-07;Saída;MRV parcela mensal 060;Aluguel/Condomínio;Moradia;Boleto;;1;1;1278.04;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-07-08;;
MRV047;2028-07-08;2028-07;Saída;MRV seguro casa garantia 062;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-07-08;;
MRV048;2028-08-08;2028-08;Saída;MRV seguro casa garantia 063;Aluguel/Condomínio;Moradia;Boleto;;1;1;35.57;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-08-08;;
MRV049;2028-08-08;2028-08;Saída;MRV parcela anual 004;Aluguel/Condomínio;Moradia;Boleto;;1;1;11597.48;Não;MRV Torres Dos Portugueses · contrato 43233031;2028-08-08;;
